prueba;resultado;estado
Registros del modelo base disponibles;TRUE;APROBADO
Ventas diarias concilian con el total general;TRUE;APROBADO
Agosto identificado como periodo parcial;TRUE;APROBADO
Pronóstico sin valores negativos o no finitos;TRUE;APROBADO
Validación temporal de todos los modelos disponible;TRUE;APROBADO
El modelo seleccionado tiene el menor WAPE;TRUE;APROBADO
Todos los clientes tienen un segmento;TRUE;APROBADO
La representación PCA de clientes es válida;TRUE;APROBADO
Todos los productos tienen un segmento temporal;TRUE;APROBADO
La serie temporal usa solo meses completos;TRUE;APROBADO
Los rankings cubren productos y clientes;TRUE;APROBADO
La sensibilidad conserva el escenario de referencia;TRUE;APROBADO
El registro de limpieza del modelo base esta disponible;TRUE;APROBADO
Los precios simbólicos están identificados y conciliados;TRUE;APROBADO
Las recomendaciones conservan trazabilidad completa;TRUE;APROBADO
